date,tmax,tmin,feels_like_max
2024-07-21,35.5,27.1,36.0
2024-07-22,36.3,26.5,36.2
2024-07-23,36.8,29.0,37.8
2024-07-24,38.7,27.6,36.5
2024-07-25,36.6,27.8,35.1
2024-08-03,35.0,27.0,36.2
2024-08-04,36.6,27.8,37.6
2024-08-05,36.1,28.3,37.6
2024-08-06,37.1,27.0,37.1
2024-08-07,37.3,28.5,37.5
2024-08-08,37.3,28.6,38.3
2024-08-09,36.5,28.7,37.5
2024-08-10,36.6,28.1,36.7
2024-08-11,35.6,27.0,36.1
2024-08-25,35.2,26.3,35.8
2024-08-27,35.8,25.1,33.6
2024-09-01,36.0,26.8,37.0
2024-09-02,37.2,28.1,37.9
2024-09-03,35.6,26.6,34.8
2024-09-04,35.1,25.4,34.8
2024-09-05,36.3,26.9,35.2
2024-09-06,36.7,26.9,33.7
2024-09-07,35.1,26.2,33.6
2024-09-08,35.0,25.7,33.5
2024-09-09,35.0,26.4,33.9
2024-09-10,35.8,26.9,33.3
