地名,日期,经度,纬度,天气代码 (多源融合)(),2米平均气温 (多源融合)(°C),2米最低气温 (多源融合)(°C),2米最高气温 (多源融合)(°C),2米平均体感温度 (多源融合)(°C),2米体感温度最低值 (多源融合)(°C),2米体感温度最高值 (多源融合)(°C),降雨量 (多源融合)(mm),降水小时数 (多源融合)(h),降雪量 (多源融合)(cm),总降水量(雨+雪) (多源融合)(mm),10米最大风速 (多源融合)(m/s),10米平均风速 (多源融合)(m/s),10米最大阵风 (多源融合)(m/s),10米主导风向 (多源融合)(°),日照时数 (多源融合)(s),FAO参考蒸发量 (多源融合)(mm),白昼时长 (多源融合)(s),短波辐射总量 (多源融合)(MJ/m²),2米最大相对湿度 (多源融合)(%),2米最小相对湿度 (多源融合)(%),2米平均相对湿度 (多源融合)(%),2米平均露点温度 (多源融合)(°C),天气代码 (IFS)(),2米平均气温 (IFS)(°C),2米最低气温 (IFS)(°C),2米最高气温 (IFS)(°C),2米平均体感温度 (IFS)(°C),2米体感温度最低值 (IFS)(°C),2米体感温度最高值 (IFS)(°C),降雨量 (IFS)(mm),降水小时数 (IFS)(h),降雪量 (IFS)(cm),总降水量(雨+雪) (IFS)(mm),10米最大风速 (IFS)(m/s),10米平均风速 (IFS)(m/s),10米最大阵风 (IFS)(m/s),10米主导风向 (IFS)(°),日照时数 (IFS)(s),FAO参考蒸发量 (IFS)(mm),白昼时长 (IFS)(s),短波辐射总量 (IFS)(MJ/m²),2米最大相对湿度 (IFS)(%),2米最小相对湿度 (IFS)(%),2米平均相对湿度 (IFS)(%),2米平均露点温度 (IFS)(°C)
"都昌县, 九江市, 江西省, 中国",2022-12-01,116.3667831,29.34973526,71,-1.41,-2.47,-0.27,-6.41,-7.36,-5.02,1.5,12,0.21,1.8,5.32,4.26,10.1,356.95,0,0.58,37472.79,2.68,86.5,69.79,77.65,-4.84,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37472.79,0,NAN,NAN,0,0
"都昌县, 九江市, 江西省, 中国",2022-12-02,116.3667831,29.34973526,3,1.98,-2.52,6.03,-1.49,-6.36,3.33,0,0,0,0,2.97,1.95,5.8,353.62,24603.31,1.17,37423.63,9.72,87.11,63.31,73.62,-2.33,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37423.63,0,NAN,NAN,0,0
"都昌县, 九江市, 江西省, 中国",2022-12-03,116.3667831,29.34973526,53,3.69,-0.72,8.48,0.52,-3.87,5.32,2.1,8,0,2.1,4.2,2.31,8.1,350.55,16698.85,0.99,37376.68,7.01,96.41,67.61,83.2,0.97,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37376.68,0,NAN,NAN,0,0
"都昌县, 九江市, 江西省, 中国",2022-12-04,116.3667831,29.34973526,61,3.82,2.53,6.28,-0.06,-1.4,2.47,5.4,12,0,5.4,4.64,4.06,9.1,358.28,0,0.45,37332.01,2.24,97.54,81.69,89.34,2.21,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37332.01,0,NAN,NAN,0,0
"都昌县, 九江市, 江西省, 中国",2022-12-05,116.3667831,29.34973526,53,3.69,2.18,6.13,-0.02,-1.89,2.77,1.6,6,0,1.6,4.65,3.5,9,0.62,452.94,0.63,37289.73,4.08,97.19,75.27,86.33,1.56,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37289.73,0,NAN,NAN,0,0
"都昌县, 九江市, 江西省, 中国",2022-12-06,116.3667831,29.34973526,3,4.98,-0.32,9.13,2.09,-3.45,6.49,0.1,1,0,0.1,2.82,2.01,5.4,1.89,9587.31,1.08,37249.93,7.23,97.13,64.22,80.42,1.71,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37249.93,0,NAN,NAN,0,0
"都昌县, 九江市, 江西省, 中国",2022-12-07,116.3667831,29.34973526,3,7.03,5.23,9.58,4.49,2.22,7.46,0.3,2,0,0.3,3.32,2.09,5.9,341.91,0,0.81,37212.7,4.96,89.73,70.97,80.71,3.9,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37212.7,0,NAN,NAN,0,0
"都昌县, 九江市, 江西省, 中国",2022-12-08,116.3667831,29.34973526,3,7.37,4.73,11.43,4.61,2.23,8.41,0,0,0,0,3.42,2.65,6.7,347.27,10981.14,0.97,37178.12,5.84,93.56,62.77,81.22,4.26,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37178.12,0,NAN,NAN,0,0
"都昌县, 九江市, 江西省, 中国",2022-12-09,116.3667831,29.34973526,3,7.4,4.78,12.03,4.51,1.87,8.74,0,0,0,0,4.08,3,8.5,348.14,28930.64,1.36,37146.28,9.98,93.9,62.69,82.72,4.48,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37146.28,0,NAN,NAN,0,0
"都昌县, 九江市, 江西省, 中国",2022-12-10,116.3667831,29.34973526,3,7.56,4.23,11.88,4.18,1.1,8.34,0,0,0,0,5.46,3.81,10.8,0.2,32536.86,1.48,37116.88,10.15,95.88,61.36,80.3,4.19,NAN,0,NAN,NAN,0,NAN,NAN,0,0,0,0,NAN,0,NAN,270,0,0,37116.88,0,NAN,NAN,0,0
